engagement_probability,threeXthree,twoXtwo
0.362140566,0,0
0.107773922,0,0
0.46606952,1,1
0.061803464,0,0
0.424643457,0,0
0.08374314,0,0
0.079865575,0,0
0.521577835,1,1
0.037286039,0,0
0.137043297,0,0
0.14845778,0,0
0.063476577,0,0
0.386666358,1,1
0.345074147,0,0
0.129574656,0,0
0.147930399,0,0
0.041756514,0,0
0.06877742,0,0
0.036636822,0,0
0.045968235,0,0
0.402066171,0,0
0.065181121,0,0
0.377522826,0,0
0.03902534,0,0
0.095668048,0,0
0.02987879,0,0
0.238739848,0,0
0.172213867,1,1
0.058078825,0,0
0.103574112,0,0
0.123177834,0,0
0.39645499,0,0
0.129736841,1,1
0.043263223,0,0
0.397871047,0,0
0.070840932,0,0
0.420910001,0,0
0.120683156,0,0
0.031009469,0,0
0.077363193,0,0
0.053717561,0,0
0.49762255,0,0
0.533079386,0,0
0.475427717,1,1
0.130547658,0,0
0.497093678,0,0
0.056384217,0,0
0.042665865,0,0
0.236272171,0,0
0.45010376,0,0
0.431728244,1,1
0.105254665,0,0
0.047066499,0,0
0.468283892,0,0
0.516296864,0,1
0.452172369,1,1
0.105895333,0,0
0.382293642,0,0
0.081031173,0,0
0.108852439,0,0
0.392620981,0,0
0.425640136,0,0
0.042316906,0,0
0.039221436,0,0
0.522481203,0,0
0.087826461,0,0
0.06612289,0,0
0.027627999,0,0
0.045102168,0,0
0.037554931,0,0
0.028181493,0,0
0.078740627,0,0
0.092294328,0,0
0.167621136,0,0
0.068439029,0,0
0.189379096,1,1
0.024120662,0,0
0.027907588,0,0
0.077480599,0,0
0.079097621,0,0
0.063093476,0,0
0.062875129,0,0
0.481244445,1,1
0.437594742,1,1
0.396808743,1,1
0.026209099,0,0
0.481810421,1,1
0.103320964,0,0
0.129923046,0,0
0.038881626,0,0
0.03115152,0,0
0.09689346,0,0
0.089693323,0,0
0.505861938,0,0
0.525346458,0,0
0.101728357,0,0
0.385211319,0,0
0.128767997,1,1
0.070277952,0,0
0.090728723,0,0
0.45457986,0,0
0.028679321,0,0
0.518167853,1,1
0.068491697,0,0
0.144769788,0,0
0.04839474,0,0
0.250578523,0,0
0.136876434,0,0
0.076566495,0,0
0.034952257,0,0
0.075501062,0,0
0.046625089,0,0
0.105704032,0,0
0.143773422,0,0
0.035540685,0,0
0.114267386,0,0
0.12591356,0,0
0.168661624,0,0
0.113220125,0,0
0.089657716,0,0
0.083752476,0,0
0.531707585,0,0
0.063932009,0,0
0.048287693,0,0
0.475124747,1,1
0.207725838,0,0
0.446044385,0,0
0.498453707,0,0
0.056304771,0,0
0.050477125,0,0
0.032637242,0,0
0.079277255,0,0
0.101515055,0,0
0.029735304,0,0
0.115287691,0,0
0.456314296,0,0
0.036288101,0,0
0.110107742,0,0
0.027856201,0,0
0.494030565,1,1
0.029316207,0,0
0.492003113,0,0
0.35550496,0,0
0.53233546,0,0
0.095495172,0,0
0.090727434,0,0
0.097789347,0,0
0.032468345,0,0
0.559064448,0,0
0.03750062,0,0
0.042157099,0,0
0.132104337,1,1
0.308352947,1,1
0.417859137,0,0
0.09877874,0,0
0.118071884,0,0
0.361609221,0,0
0.405729741,0,0
0.507259309,1,1
0.314852506,0,1
0.040672187,0,0
0.046525754,0,0
0.031054212,0,0
0.038395245,0,0
0.090723656,0,0
0.103131369,0,0
0.095118932,0,0
0.120082006,0,0
0.419801235,0,0
0.052991696,0,0
0.030466806,0,0
